City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Constitucion,CL,2021-04-04 18:31:48,-35.3333,-72.4167,62.1,71,18,9.04
246,Mar Del Plata,AR,2021-04-04 18:31:48,-38.0023,-57.5575,73.4,73,40,17.27
247,Sioux Lookout,CA,2021-04-04 18:27:43,50.1001,-91.917,55.4,33,75,8.05
248,Port Macquarie,AU,2021-04-04 18:31:49,-31.4333,152.9167,66.2,94,100,5.75
249,Dalbandin,PK,2021-04-04 18:31:49,28.8947,64.4101,79.84,18,95,6.35
250,Puerto Padre,CU,2021-04-04 18:31:49,21.195,-76.6028,78.8,50,75,19.57
251,Shubarkuduk,KZ,2021-04-04 18:31:50,49.1447,56.4872,39.61,88,80,8.28
252,Shenjiamen,CN,2021-04-04 18:31:50,29.9576,122.298,50.54,64,0,20.85
253,Lorengau,PG,2021-04-04 18:31:51,-2.0226,147.2712,79.75,82,100,1.59
254,Tucuman,AR,2021-04-04 18:31:51,-26.8241,-65.2226,80.6,61,75,12.66
255,Deputatskiy,RU,2021-04-04 18:31:52,69.3,139.9,-9.76,99,100,1.16
256,Palora,EC,2021-04-04 18:31:52,-1.7,-77.9333,64.4,100,90,2.3
257,Sao Filipe,CV,2021-04-04 18:31:53,14.8961,-24.4956,75.33,69,30,6.91
258,Impfondo,CG,2021-04-04 18:31:53,1.6381,18.0667,78.93,71,71,2.01
259,Dakar,SN,2021-04-04 18:31:53,14.6937,-17.4441,75.2,64,0,13.8
260,Cuamba,MZ,2021-04-04 18:31:54,-14.8031,36.5372,67.69,96,6,4.03
261,Kavarna,BG,2021-04-04 18:31:54,43.4333,28.3333,42.8,87,90,10.36
262,Teguldet,RU,2021-04-04 18:31:55,57.3064,88.1667,29.64,97,100,2.86
263,South Lake Tahoe,US,2021-04-04 18:28:22,38.9332,-119.9844,71.6,12,1,8.05
264,Naini Tal,IN,2021-04-04 18:31:56,29.3974,79.4469,56.55,10,96,5.7
265,Iskateley,RU,2021-04-04 18:27:44,67.6803,53.1512,10.94,97,18,6.51
266,Motygino,RU,2021-04-04 18:31:56,58.1831,94.7592,31.39,99,100,2.89
267,Athabasca,CA,2021-04-04 18:31:57,54.7169,-113.2854,39.2,87,83,12.66
268,Maiduguri,NG,2021-04-04 18:31:57,11.8464,13.1603,85.69,11,57,8.61
269,Saint-Pierre,RE,2021-04-04 18:31:58,-21.3393,55.4781,78.8,78,0,4.61
270,Alenquer,BR,2021-04-04 18:31:58,-1.9417,-54.7383,86.0,74,20,10.36
271,Alicia,PH,2021-04-04 18:31:58,16.7794,121.6973,71.82,93,17,3.15
272,Kijang,KR,2021-04-04 18:31:59,35.2442,129.2139,46.4,61,0,17.27
273,Tura,IN,2021-04-04 18:31:59,25.5198,90.2201,71.98,35,100,2.51
274,Goderich,CA,2021-04-04 18:30:19,43.7501,-81.7165,42.8,75,15,8.05
275,Synya,RU,2021-04-04 18:31:59,65.3718,58.0387,13.93,97,68,1.43
276,Vao,NC,2021-04-04 18:32:00,-22.6667,167.4833,75.51,62,5,21.43
