City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Chilliwack,CA,49.1747,-121.9443,57.99,47,93,4.61,overcast clouds
292,West Lorne,CA,42.6001,-81.5998,62.01,59,20,8.05,few clouds
293,Lata,PT,40.1629,-8.3327,57.0,75,66,0.69,broken clouds
294,Mercedes,AR,-34.6515,-59.4307,77.0,59,23,1.99,few clouds
295,Bontang,ID,0.1333,117.5,77.49,86,32,2.98,scattered clouds
296,Grand Island,US,40.925,-98.342,71.6,53,90,19.57,overcast clouds
297,Baykit,RU,61.67,96.37,36.61,98,100,6.46,overcast clouds
298,Butaritari,KI,3.0707,172.7902,79.95,80,100,8.46,overcast clouds
299,Cockburn Town,TC,21.4612,-71.1419,75.2,64,40,13.8,scattered clouds
300,Port-Gentil,GA,-0.7193,8.7815,77.0,94,20,2.3,few clouds
301,Gangapur,IN,26.4833,76.7167,79.75,18,0,6.4,clear sky
302,Kortkeros,RU,61.8106,51.5806,35.6,60,0,6.71,clear sky
303,Marsh Harbour,BS,26.5412,-77.0636,69.31,50,11,7.92,few clouds
304,Lagoa,PT,39.05,-27.9833,60.06,82,99,6.08,overcast clouds
305,Naze,JP,28.3667,129.4833,66.2,55,20,19.57,few clouds
306,Moundou,TD,8.5667,16.0833,86.92,15,34,2.84,scattered clouds
307,Flic En Flac,MU,-20.2742,57.3631,77.0,94,75,3.44,light rain
308,Lazaro Cardenas,MX,17.9583,-102.2,83.17,54,0,12.28,clear sky
309,Cabildo,AR,-38.4842,-61.8954,73.99,72,2,4.0,clear sky
310,Gonen,TR,40.1049,27.654,64.4,82,40,5.75,scattered clouds
311,Severo-Kurilsk,RU,50.6789,156.125,27.9,68,14,12.26,few clouds
312,Sironko,UG,1.2313,34.2477,64.99,86,100,5.08,overcast clouds
313,Bangangte,CM,5.1409,10.5198,64.26,90,96,4.54,overcast clouds
314,Ternate,ID,0.8,127.4,81.05,79,100,3.78,overcast clouds
315,Guerrero Negro,MX,27.9769,-114.0611,68.38,56,97,19.89,overcast clouds
316,Aklavik,CA,68.2191,-135.0107,3.2,60,90,2.3,light snow
317,Muros,ES,42.7762,-9.0603,52.0,65,1,20.74,clear sky
318,San Luis,AR,-33.295,-66.3356,72.55,55,1,10.31,clear sky
319,Muroto,JP,33.2833,134.15,50.0,71,20,16.11,few clouds
320,Mount Isa,AU,-20.7333,139.5,78.8,50,13,5.75,few clouds
321,Kabinda,CD,-6.1333,24.4833,66.58,96,100,3.4,light rain
322,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,69,0,9.22,light rain
323,Severobaykalsk,RU,55.65,109.3167,20.14,93,61,3.44,broken clouds
324,Seydisehir,TR,37.4193,31.8453,48.24,57,23,4.92,few clouds
325,Kindu,CD,-2.95,25.95,69.17,98,91,1.14,light rain
326,Opuwo,NA,-18.0607,13.84,71.69,47,18,7.31,few clouds
327,Nome,US,64.5011,-165.4064,15.8,45,1,7.2,clear sky
328,Kaniama,CD,-7.5667,24.1833,66.11,96,84,2.93,light rain
