City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Bowen,AU,75.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
589,Sai Buri,TH,77.68,scattered clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
594,Bara,NG,85.1,broken clouds,10.3744,10.7288,
596,Alice Springs,AU,75.99,clear sky,-23.7,133.8833,Desert Palms Alice Springs
599,Kuala Terengganu,MY,77.0,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
601,Kanniyakumari,IN,80.33,scattered clouds,8.0833,77.5667,Sparsa
604,Miracema Do Tocantins,BR,78.13,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
607,Bluefields,NI,82.4,scattered clouds,12.0137,-83.7635,Flamingo Hotel and Casino
609,Belmonte,BR,75.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
610,Santiago,CL,75.2,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
611,Gweta,BW,75.24,scattered clouds,-20.1833,25.2333,Gweta Lodge
612,Bairiki,KI,75.2,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
614,Kudahuvadhoo,MV,84.42,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
617,Tagusao,PH,78.48,overcast clouds,9.1924,117.8141,Toledo
625,Tekkali,IN,75.11,scattered clouds,18.6167,84.2333,Trinath Gantayat
626,San Pedro,PH,81.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
632,Pozo Colorado,PY,80.8,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
633,Santiago Del Estero,AR,76.77,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
635,Itarema,BR,80.4,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
637,Mayor Pablo Lagerenza,PY,75.51,broken clouds,-19.9309,-60.7718,
639,Poum,NC,79.03,overcast clouds,-20.2333,164.0167,Gîte kajeon
640,Alenquer,BR,80.6,few clouds,-1.9417,-54.7383,Josilene Castro
642,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
644,Zinder,NE,83.68,clear sky,13.8072,8.9881,Hotel de Ville
646,Bilma,NE,81.37,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
648,Ascension,US,77.0,overcast clouds,30.2169,-90.9001,Highland Inn
649,Greensburg,US,75.2,scattered clouds,40.3015,-79.5389,Rodeway Inn
650,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
651,Taoudenni,ML,83.52,clear sky,22.6783,-3.9836,
652,Araouane,ML,81.82,clear sky,18.9048,-3.5265,
654,Kyabe,TD,87.98,overcast clouds,9.4515,18.9449,
655,Pontianak,ID,75.2,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
661,Birao,CF,81.28,few clouds,10.2849,22.7882,
677,Namibe,AO,78.39,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
679,Austin,US,84.2,scattered clouds,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
681,Sedam,IN,81.57,clear sky,17.1773,77.2824,Lakshmi Krupa
682,Axim,GH,79.95,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
685,Nouakchott,MR,75.2,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
686,Pundaguitan,PH,80.58,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
